partyid	lifetime_party_revenue
23167094	4.95
62583398	1.95
30954351	247.6
30946801	4.95
76074363	1.95
60379834	3.95
48121498	2.95
71310250	41.75
21606509	4.95
42364804	72.85
82756232	1.95
66294228	2.95
81414728	38.75
84106123	1.95
84072485	1.95
82056609	2.95
84396355	1.95
65722163	1
51168868	107.8
46147859	37.9
54280577	3.95
14529524	249.6
83227688	2.95
35041318	2.95
48707014	2.95
44446137	142.75
70848766	181.95
24125758	39.9
73083554	1.95
73043159	2.95
68220394	1.95
40330849	2.95
10266701	2.95
41386982	2.95
43638046	40.03
87050685	1.95
63434127	1.95
30376417	249.6
76230821	41.75
20001537	4.95
27596304	110.93
86970223	81.55
68249927	161.15
26633076	74.85
25137161	5.27
70375301	2.95
47448639	2.95
49598451	2.95
62645259	1.95
61167830	1.95
30104845	1.95
53791161	2.95
51527244	2.95
62394489	1.95
48491800	24.9
31941225	109.8
44992324	2.95
39744379	37.9
71092553	2.95
50729093	2.95
65237141	1.95
17418379	104.85
83089635	41.75
71781802	41.75
58985119	1.95
81391865	1.95
53767417	177.7
29513891	95.4
40191221	81.55
33858109	4.95
38098905	2.95
84620474	41.75
85466834	1.95
80941015	2.95
50478204	37.9
36629020	4.95
86671775	41.75
80770568	1.95
82114109	1.95
90610988	2.95
61027508	1.95
38401311	38.9
52435502	72.85
36698154	3.95
50858870	3.95
47311552	3.95
36873676	3.95
33435978	39.9
21586456	4.95
63494355	1.95
36391327	3.95
37809224	3.95
9549098	2.95
35822964	108.8
34512793	38.9
45072957	38.9
43346666	72.85
39640540	2.95
72204918	38.75
77096034	2.95
84922929	41.75
54659635	2.95
47074099	142.75
22873747	249.6
41449271	2.95
42301325	37.9
35720323	3.95
36535683	248.6
40132181	2.95
60287283	1.95
39194740	2.95
32772642	4.95
63044568	1.95
70977008	1.95
36664302	3.95
61420673	1.95
78941397	1.95
35698551	73.85
14859937	564.15
43773025	2.95
67977595	11.6
32635490	4.95
28833601	4.95
65747998	2.95
44645090	2.95
70196572	41.75
21049271	5.9
38486273	37.9
35267707	3.95
23521588	6.08
57618791	36.9
57813098	1.95
68330390	38.75
49682792	2.95
26641279	1.95
60100403	2.95
30459193	144.75
29840584	4.95
49063230	2.95
40704704	212.65
29446851	2.95
12696248	209.7
73596663	36.8
42826970	2.95
82055616	2.95
38679519	2.95
60995777	73.85
49258695	2.95
47615224	2.95
56026893	2.95
44743232	3.95
67841110	1.95
64081006	1.95
52233959	2.95
28501156	9.9
68430208	1.95
65067112	40.3
25949437	4.95
41833073	38.9
63100408	81.55
64402516	1.95
46327944	37.9
50596261	142.75
24234831	7.9
42312348	1.95
51094623	422.35
54574643	2.95
40452439	2.95
22374297	4.95
49053879	2.95
57691744	1.95
35877817	3.95
77482970	1.95
65210181	41.75
40063149	2.95
46183909	142.75
84196345	1.95
30681741	74.85
34064595	4.95
48041552	2.95
60785572	82.55
38534519	2.95
54273755	3.95
82644071	2.95
77813530	1.95
78374923	1.95
52041814	142.75
49399438	37.9
74478230	1.95
75957609	1.95
31416951	4.95
52234278	1.95
41415910	3.95
80912586	1.95
46139164	2.95
34915828	2.95
29290960	10.78
40057757	1.95
85696710	38.75
43395517	2.95
45500001	22.85
57867460	1.95
61674041	2.95
57186843	36.9
35176162	4.95
63679951	1.95
86794918	41.75
24396867	37.9
49899488	2.95
28739397	4.95
80686121	41.75
63968398	121.35
20737559	4.95
66189096	0.95
28611054	39.9
42880392	6.9
57101457	38.9
69271310	41.75
88264494	2.95
23992199	4.95
12301203	4.95
30229564	1.95
68182263	121.35
27440489	4.95
29309530	2.95
57322050	3.95
77871316	1.95
43815178	2.95
84827395	1.95
18807150	109.8
16809598	4.95
41120620	2.95
53981311	38.9
37051016	108.8
46694559	2.95
77105095	181.95
49222119	2.95
84853303	3.3
52604414	108.8
31350250	158.73
42509677	37.9
20826166	39.9
36165417	3.95
48078541	2.95
64220847	2.95
60649150	1.95
74187478	2.95
69312110	41.75
78364741	1.95
24355882	319.5
26589682	6.08
29274628	4.95
41976517	5.9
28683387	37.9
29153071	4.95
42340337	7.46
83465451	2.95
35930370	3.95
51703442	41.75
80577962	1.95
62875117	38.75
79651333	1.95
3514114	2.95
62762880	1.95
84569074	1.95
32244422	39.9
27407872	1
49219532	3.95
50620210	3.95
52179948	107.8
23038349	4.95
59603134	81.55
41392086	6.2
62391511	1.95
48706355	177.7
82200873	1.95
30996804	39.9
37417102	3.95
37088598	3.95
11265709	2.95
66878699	41.75
70500061	2.95
70662901	81.55
47216971	2.95
74077830	41.75
13673376	69.9
56619422	2.95
38509774	2.95
73822421	1.95
28773506	2.95
33012454	4.95
68188519	38.75
65889558	0.95
48703008	2.95
32894873	39.9
32345461	4.95
64870501	2.95
42575909	7.46
46746087	3.95
38923259	2.95
47038756	2.95
71966091	18.75
60310646	41.75
43828648	37.9
64251990	1.95
80763297	1.95
37178058	3.95
48134181	44.8
54654160	95.4
53483594	37.9
35403619	3.95
78012374	1.95
36162093	3.95
54598830	108.8
68955873	43.7
78893495	1.95
64573553	71.85
64160460	1.95
80840953	41.75
44318901	2.95
48431874	2.95
34501077	4.95
44371663	2.95
88083673	1.95
22624931	74.85
40837175	5.9
36041481	40.7
56466581	3.95
80277068	6
61093388	280.55
41942973	3.95
22441587	74.85
36403204	38.9
58186345	36.9
23595037	39.9
61862213	1.95
88559721	1.95
76319850	1.95
55226225	3.75
55094221	74.55
44520591	2.95
34160142	109.8
39603058	6.9
26149899	4.95
63750393	41.75
21203488	42.75
83993379	1.95
39902047	35.95
22614084	4.95
70845031	1.95
23624789	4.95
86404352	82.55
76682857	1
74905046	1.95
47582721	3.95
26519876	4.95
49569981	3.95
70288434	1.95
24328261	9.9
30505364	1.95
35000206	4.95
63158929	81.55
36657917	39.9
47867650	72.85
82514507	1.95
66038303	41.75
60732084	81.55
80536568	38.75
74386788	1.95
51489116	2.95
33962955	2.95
26253643	4.95
81295292	1.95
34553651	13.1
32003506	9.46
68668110	2.95
81894222	1.95
23488895	4.95
57903667	1.95
29912612	4.95
45545000	178.7
76554816	2.95
51133943	3.95
53225903	8.34
88564229	2.95
60311246	41.75
84360480	41.75
65619083	2.95
40740416	37.9
59250939	3.95
34738731	3.95
71787793	2.95
60704983	41.75
87405394	1.95
58709750	3.95
62477868	38.75
89375219	41.75
69603007	1.95
72051453	1.95
40838486	2.95
44497065	2.95
54749173	3.95
32013595	4.95
64121471	1.95
48634405	3.95
51846693	14.6
63276000	71.85
54057744	3.95
76992734	1
66604458	2.95
80844442	2.95
30430297	11.94
69865254	1.95
55326965	3.95
51273913	2.95
67563524	1.95
59715336	3.95
35629960	4.95
44785678	8.75
47194341	2.95
24993420	39.9
37745254	109.8
63826768	1.95
69065839	1.95
50378478	37.9
9993602	109.8
41880873	41.39
31438810	4.95
71831886	1.95
79236487	2.95
58754348	1.95
22948765	95.4
64664588	16.9
26273717	74.85
76556351	2.75
38199935	7.9
47303234	2.95
71852437	38.75
85446487	1.95
66429559	2.95
43690024	3.95
52745421	2.95
76656384	2.95
69627594	1.95
42112494	2.95
76728371	2.95
48417833	2.95
60361870	41.75
51611244	2.95
24926110	4.95
35130646	354.45
69461387	120.4
48592434	38.9
30005339	8.9
58036613	41.75
23635622	4.95
62368415	1.95
47118435	2.95
58604124	1.95
35118697	39.9
56435083	1.95
65719804	0.95
19224642	1.95
53898616	2.95
41617626	2.95
48805778	3.95
49830481	31.8
67489212	2.95
54321075	2.95
37384518	2.95
59660379	1.95
38469195	37.9
13194024	1.95
23942292	2.95
39476407	73.85
39392868	3.95
35796334	38.9
21387052	74.85
57499070	36.9
81279153	1.95
84688280	2.95
28255327	39.9
38401548	2.95
77690889	41.75
41222167	2.95
15411452	4.95
34711050	2.95
81049130	2.95
80514733	1.95
61085273	1.95
16519137	3.95
65290812	37.9
65845828	1.95
59091146	1.95
89157455	2.95
39769044	2.95
80087297	1.95
81131013	1.95
76288166	41.75
77037396	2.95
41823416	2.95
42737147	2.95
63048589	41.75
56612277	24.9
45298409	38.9
71756991	161.15
30343475	4.95
44195740	3.95
5533150	3.95
41367718	38.9
45856867	2.95
58167220	106.8
47672414	177.7
28028207	249.6
83506774	81.55
69260492	4.9
21430805	4.95
50029185	2.95
53554961	3.95
71740215	41.75
28088734	4.95
16136849	1.95
55886941	2.95
45173957	2.95
36677591	74.85
71009096	81.55
68640037	2.95
70607012	2.95
70087720	1.95
77735498	2.95
51316362	2.95
46264136	2.95
48971757	3.95
33012630	4.95
19392720	74.85
56842872	162.15
87150280	1.95
40896802	2.95
87375646	1.95
66085292	1.95
43849144	38.9
52267640	2.95
13841832	2.95
34471904	4.95
71337824	1.95
41966186	107.8
8424315	39.9
80321150	1.95
28521903	4.95
22510287	39.9
71729805	74.55
29000197	4.95
82079895	1.95
72217302	1.95
72106931	1.95
17891106	4.95
60322958	1.95
71718731	1.95
77933148	1.95
66920668	2.95
71979374	2.95
59553854	598.95
32397189	4.95
58708289	1.95
34941248	81.55
53969515	2.95
55883363	2.95
52538558	73.85
86768767	1.95
11820495	2.95
51869548	2.95
83275584	1.95
75052947	1.95
69683917	1.95
39783057	2.95
71923252	2.95
12059241	1.95
73431720	1.95
74636835	240.75
69505805	1.95
74193338	41.75
55472797	3.95
33552048	4.95
64403478	1.95
75537782	1.95
75992732	41.75
62481997	2.95
39040902	142.75
24926299	39.9
37219046	4.95
27680877	39.9
59766018	1.95
40243765	2.95
47816465	2.95
28926928	4.95
45535530	108.8
65078569	1.95
69615103	2.95
50122452	3.95
57355128	2.95
42600387	37.9
72720343	1.95
63247939	1.95
35101860	121.35
42584940	2.95
32710605	39.9
67732508	1.95
50755827	178.7
35520427	3.95
67874175	2.95
81955462	2.95
14806912	634.05
67255157	1.95
53941372	3.95
87784258	1.95
46061051	72.85
71110269	14.9
73613492	81.55
25124080	4.95
89254144	2.95
25209017	2.95
72521962	2.95
52644481	2.95
32242343	4.95
61448824	1.95
69702079	2.95
58636032	81.55
45001946	72.85
40047495	2.95
71333380	1.95
71903973	43.86
24214769	2.95
36230627	3.95
38274726	2.95
37434026	3.95
76444691	2.95
33820743	4.95
45887498	2.95
24442330	4.95
43948563	3.95
79976398	81.55
31698496	4.95
66076856	37.33
74614833	38.75
64688427	246.6
50102133	38.9
37672609	3.95
43297489	2.95
44087964	37.9
37076190	39.9
35462520	4.95
34115592	4.95
69963520	1.95
78145585	1.95
35578262	144.75
43076172	3.95
74957274	200.95
83984793	1.95
62739198	1.95
26126052	256.4
54107503	2.95
83652996	41.75
69168776	2.95
35636508	4.95
26665272	4.95
39500510	5.2
51596187	2.95
29313365	4.95
28758123	4.95
31623335	4.95
59629326	38.9
27883470	4.95
67928651	1.95
32916131	4.95
32472127	4.95
87150230	1.95
57255747	36.9
46264684	3.95
29153794	4.95
62370297	1.95
67141833	1.95
51986724	37.9
56761649	1.95
32670627	37.9
52216573	2.95
79927905	1.95
76081746	1.95
56075014	2.95
63641563	1.95
52745319	143.75
88709736	41.75
67095700	1.95
76263379	1.95
46149999	2.95
72763055	200.95
30253605	74.85
58483017	1.95
24563636	4.95
46351468	3.95
60867139	283.55
76099127	41.75
70668546	1.95
22615896	74.85
51203513	2.95
44129872	2.95
47516047	2.95
15867434	105.83
50769273	37.9
39628620	2.95
33803086	144.75
84000176	1.95
23729493	4.95
70416123	1.95
86862349	1.95
68764645	10.48
68090227	1.95
62701529	1.95
9852041	2.95
53200977	4.08
42775119	2.95
59871383	2.95
45531567	3.95
25274568	4.95
84099901	2.95
41317963	3.95
39423157	2.95
30550834	74.85
49821213	2.95
75318660	2.95
41416526	2.95
79447695	1.95
58468116	93.75
89527760	2.95
85161356	41.75
85940219	1.95
74278451	1.95
68614161	1.95
75313796	0
34850398	4.95
67578304	41.75
76686370	110.35
49140024	2.95
32455582	179.7
67460114	1.95
60326708	3.95
60121481	1.95
83539054	1.95
50033882	3.95
69960061	2.95
43826767	2.95
13270732	2.95
84506439	1.95
58427935	41.75
41326750	1.95
45012906	2.95
52068049	1.95
72691764	1.95
79089890	1.95
78088405	161.15
65784325	40.75
60411953	73.85
29134353	46.7
25614788	39.9
80129251	1.95
26289138	4.95
38476347	37.9
36386021	3.95
80634638	2.95
64847966	81.55
74652536	1.95
78728981	2.95
51718259	37.9
22190099	4.95
86342391	2.95
47970622	107.8
25390960	4.95
58558970	1.95
87262796	2.95
50569862	2.95
76929400	2.95
43089029	2.95
80601545	121.35
37291617	3.95
29120602	39.9
69477239	38.75
41857480	37.9
22023030	110.75
66849143	1.95
78105741	2.95
71841177	1.95
49403202	2.95
73750333	146.15
85932808	1
56256807	2.95
31148835	4.95
52936948	3.95
38886462	2.95
24513863	4.95
